mslDischargeOthers,mslDischargePipelines,mslDischargeShips,mslDisposalIncineration,mslDisposalLandfill,mslDisposalOthers,msLevelID,mslMS,mslRemarks,mslReuseOthers,mslReuseSoilAgriculture,mslSludgeProduction,mslWWReuseAgri,mslWWReuseExplain,mslWWReuseInd,mslWWReuseOther,mslWWReusePerc,repCode,rptMStateKey,ReportNetEnvelopeFileId
0,0,0,3173,0,2877,4040,,"The amount of sewage sludge which is mentionend under 'mslReuseOhters' is composted in Luxembourg. The amount of sewage sludge which is written under 'mslDisposalOthers' is the amount of sludge who is incinerated in Germany (775 t DS/y) and in Belgium  (462 t DS/y), composted (1558 t DS/y) in France and used in agriculture (82 t DS/y) in Germany.",1443,1978,9471,,,,,,LU100,LU,60304
0,0,0,0,74,0,4041,,,79,58295,58448,0,,0,0,0,IE2020,IE,60306
,,,,1910.38,698.446,4042,,There is no waste water re-use in Estonia. mslDisposalOthers represents sludge that stays in the storage (i.e disposed in special depot sites).,,15951.88987,18560.71587,,,,,,EE2022,EE,60305
,,,0,1145,0,4043,,"mslWWReusePerc: 88% used in TP for irrigation/washing. 12% used by external entities (ERSAR-RASARP 2021).
mslReuseOthers: Waste recovery operation R3-Recycling/recovery of organic substances not used as solvents (anaerobic digestion, composting, other).",94544,8034,103723,,,,,1.1,PT_2020,PT,60309
,,,,,,4044,,,,,1381519,,,,,,DE_UWWT_2020,DE,60308
,,,294761,1480,,4046,,,12119,,308360,0,,0,0,,NL2022,NL,60313
0,0,0,284,0,0,4047,,"The 6918 t DS/y mentioned in others refers to 508 t DS/y of sludge tranported for anaerobic treatment for biogas production, 4682 t DS/y of sludge tranported for compost production and to 1728 t DS/y of sludge storaged at the plants to be  reused.",6918,1014,8216,44,Into the dry beds of Rivers and in Aquifers for IN and IR,0,43,86.58,CY 2021 Art.15,CY,60312
0,0,0,0.01,347.63,0,4048,,,115583.41,41914.65,157845.7,,,,,0,CZ1,CZ,60311
,,,,,,4049,,,88572,59048,147620,,,,,,FI2020,FI,60310
0,0,0,182109,5680,34189,4050,,,11523,785835,1019336,16603,,0,0,0.1,FR2020,FR,60316
0,0,0,12000,0,0,4051,,,21000,82000,115000,,,,,,DK2020,DK,60318
0,0,0,0,170.5,0,4052,,,0,0,170.5,,,,,0,IS2020,IS,60317
,,,12902.01,1650.12,,4053,,"mslReuseOthers' includes sludge used for compostation, for biogas generation and for production of other products",15999.22,10496.71,41048.06,,,,,,LT-2020,LT,60315
,,,118859,308,16769,4054,,,43716,48357,228009,,,,,0,AT_UWWTD_2020,AT,60314
,,,,6714,,4056,,,21595,25439,53748,,,,,,SK8,SK,60323
0,0,0,0,1.25,9811.6994,4057,,,,7452.988,17265.9374,0,,0,0,0,LV008,LV,60322
,,,56087.81,36005.57,86233.1,4058,,,174474.67,111706.5,464507.65,5,0,3,2,10.04,IT008,IT,60321
,,,113348,,1226,4059,,,9806,35961,160341,0,"Industrial process, services, infiltr. in aquifer",0,0,0.011,BE-2020,BE,60320
,,,,2035,2219,4060,,Data were not available for all WWTPs. Data in mslReuseOthers relates mostly to composting or grounding in the fields.,3980,392,8626,,,,,,HR_Art15_2020,HR,60319
0,0,0,0,10360,0,4061,,,0,0,10360,100,,0,0,6.6,MT,MT,60331
13935.54,,,44148.47,27179.41,0,4062,,,,472142.06,557405.48,,,,,,ES,ES,60330
0,0,0,162,8997,27862,4063,,0,17306,106353,160680,0,0,0,0,0.1,HU-91271CQ-2022a,HU,60329
0,0,0,2150,140690,52220,4065,,"Other disposal sludge  (i.e. land improvement, substance recovery, etc.); mslReuseOthers (composting and other applications)",5030,54130,254220,0,,0,0,0,RO08,RO,60327
0,0,0,36915,25723,11540,4066,,Incineration in cement industry of previously dried sludge.,0,24368,98546,,"For wastewater reuse refer to general comments.
ground water rec",,,2,EL_UWWTD_2022,EL,60326
,,,115103,13003,258556,4067,,,,236604,623266,,,,,,PL03,PL,60325
0,0,0,0,4431,5992,4068,,mslDisposalOthers is temporary disposal at drying fields or transported to UWWTP for additional dewatering,8398,22021,40842,,"mslReuseOthers is  recultivation of terrains, biogas, compost wi",,,,BG2022,BG,60338
0,0,0,5158,1697,0,4070,,"Cover of landfill, other use, stored, and not specified use is included in mslReuseOthers",82400,141484,230739,84,,10,6,0.03,SE369,SE,60377
0,0,0,11004,596,18633,4072,,,0,419,30652,,,0,0,0,SI-2022,SI,60383
